variable_name,label
az_5_methyl_tetrahydro_folic_acid_n,5 methyl tetrahydro folic acid (-)
az_6_phospho_gluconic_acid_n,6 phospho gluconic acid (-)
az_7_methylxanthine_p,7 Methylxanthine (+)
az_acetyl_neuraminic_acid_n,Acetyl neuraminic acid (-)
az_acyl_carnitine_2_0_p,acyl carnitine 2 0 (+)
az_acyl_carnitine_3_0_p,acyl carnitine 3 0 (+)
az_acyl_carnitine_4_0_p,acyl carnitine 4 0 (+)
az_acyl_carnitine_5_0_p,acyl carnitine 5 0 (+)
az_acyl_carnitine_6_0_p,acyl carnitine 6 0 (+)
az_acyl_carnitine_8_0_p,acyl carnitine 8 0 (+)
az_acyl_carnitine_10_0_p,acyl carnitine 10 0 (+)
az_acyl_carnitine_12_0_p,acyl carnitine 12 0 (+)
az_adenine_n,adenine (-)
az_adenosine_diphosphate_n,Adenosine diphosphate (-)
az_adenosine_diphosphate_ribose_n,Adenosine diphosphate ribose (-)
az_adenosine_monophosphate_n,Adenosine monophosphate (-)
az_adenosine_p,Adenosine (+)
az_adenylosuccinate_n,adenylosuccinate (-)
az_adma_p,ADMA (+)
az_alanine_p,Alanine (+)
az_alanyl_glutamine_n,Alanyl glutamine (-)
az_anserine_p,Anserine (+)
az_arginine_n,Arginine (-)
az_arginine_p,Arginine (+)
az_argininosuccinate_n,Argininosuccinate (-)
az_asparagine_p,Asparagine (+)
az_aspartic_acid_n,Aspartic acid (-)
az_betaine_p,Betaine (+)
az_carnitine_p,carnitine (+)
az_choline_p,Choline (+)
az_cis_aconitic_acid_n,cis aconitic acid (-)
az_citramalic_acid_n,citramalic acid (-)
az_citrate_sp_n,citrate sp (-)
az_citrulline_n,citrulline (-)
az_cmp_acetylneuraminic_acid_n,CMP acetylneuraminic acid (-)
az_coenzyme_a_n,Coenzyme A (-)
az_coumaric_acid_n,coumaric acid (-)
az_creatine_p,Creatine (+)
az_cyclic_adenosine_monophosphate_n,cyclic Adenosine monophosphate (-)
az_cyclic_di_guanosine_monophosphate_n,cyclic di Guanosine monophosphate (-)
az_cyclic_guanosine_monophosphate_n,cyclic Guanosine monophosphate (-)
az_cystine_n,Cystine (-)
az_cytidine_diphosphate_ethanolamine_n,Cytidine diphosphate Ethanolamine (-)
az_cytidine_monophosphate_n,Cytidine monophosphate (-)
az_cytidine_n,cytidine (-)
az_cytosine_n,cytosine (-)
az_deoxy_adenosine_monophosphate_n,deoxy Adenosine monophosphate (-)
az_deoxy_cytidine_diphosphate_n,deoxy Cytidine diphosphate (-)
az_deoxy_methylthiol_adenosine_n,deoxy methylthiol adenosine (-)
az_deoxy_uridine_monophosphate_n,deoxy uridine monophosphate (-)
az_deoxycarnitine_p,Deoxycarnitine (+)
az_deoxycytidine_n,Deoxycytidine (-)
az_dihydro_orotic_acid_n,Dihydro orotic acid (-)
az_dihydrofolic_acid_n,Dihydrofolic acid (-)
az_dihydromethyluracil_n,dihydromethyluracil (-)
az_dihydroxy_phenyl_acetic_acid_n,dihydroxy phenyl acetic acid (-)
az_fructose_1_phosphate_n,Fructose 1 Phosphate (-)
az_fructose_6_phosphate_n,Fructose 6 Phosphate (-)
az_fumarate_n,fumarate (-)
az_galactose_1_phosphate_n,Galactose 1 Phosphate (-)
az_gluconic_acid_n,Gluconic acid (-)
az_glucosamine_6_phosphate_n,glucosamine 6 phosphate (-)
az_glucose_1_phosphate_n,Glucose 1 Phosphate (-)
az_glucose_6_phosphate_n,Glucose 6 Phosphate (-)
az_glucuronic_acid_n,glucuronic acid (-)
az_glutamate_n,glutamate (-)
az_glutamine_p,Glutamine (+)
az_glutamyl_alanine_n,Glutamyl alanine (-)
az_glutaric_acid_n,glutaric acid (-)
az_glutathione_ox_n,glutathione ox (-)
az_glutathione_red_n,glutathione red (-)
az_glyceralaldehyde_phosphate_n,Glyceralaldehyde phosphate (-)
az_glycerate_3_phosphate_n,Glycerate 3 phosphate (-)
az_glycerate_bisphosphate_n,Glycerate bisphosphate (-)
az_guanine_n,guanine (-)
az_guanosine_diphosphate_mannose_n,Guanosine diphosphate mannose (-)
az_guanosine_monophosphate_n,Guanosine monophosphate (-)
az_guanosine_n,guanosine (-)
az_hippuric_acid_p,Hippuric Acid (+)
az_histidine_p,Histidine (+)
az_hydroxy_glutaric_acid_n,Hydroxy glutaric Acid (-)
az_hydroxy_phenyl_acetic_acid_n,Hydroxy phenyl acetic acid (-)
az_hydroxy_phenyl_lactic_acid_n,Hydroxy phenyl lactic acid (-)
az_hydroxy_phenyl_propionic_acid_n,Hydroxy phenyl propionic acid (-)
az_hydroxy_proline_n,Hydroxy proline (-)
az_hydroxyisocaproic_acid_n,Hydroxyisocaproic acid (-)
az_hydroxymethyldeoxy_uridine_n,Hydroxymethyldeoxy uridine (-)
az_hypoxanthine_p,Hypoxanthine (+)
az_indole_lactic_acid_n,Indole lactic acid (-)
az_isocitrate_sp_n,isocitrate sp (-)
az_isoleucine_n,Isoleucine (-)
az_isovaleryl_coa_n,Isovaleryl CoA (-)
az_itaconic_acid_n,itaconic acid (-)
az_kynurenic_acid_n,Kynurenic acid (-)
az_kynurenine_p,Kynurenine (+)
az_lactic_acid_n,lactic acid (-)
az_leucine_n,Leucine (-)
az_lysine_p,Lysine (+)
az_malate_n,malate (-)
az_maleic_acid_n,maleic acid (-)
az_malonic_acid_n,malonic acid (-)
az_mannose_6_phosphate_n,Mannose 6 phosphate (-)
az_mercapturic_acid_n,Mercapturic acid (-)
az_mesaconic_acid_n,Mesaconic Acid (-)
az_methionine_n,Methionine (-)
az_methylxanthine_n,methylxanthine (-)
az_mevalonic_acid_n,Mevalonic acid (-)
az_n1_methyl_2_pyridone_5_carboxamide_2py_p,N1 Methyl 2 pyridone 5 carboxamide 2PY (+)
az_n1_methyl_4_pyridone_5_carboxamide_4py_p,N1 Methyl 4 pyridone 5 carboxamide 4PY (+)
az_n_acetyl_aspartate_n,N acetyl aspartate (-)
az_n_acetyl_glucosamine_n,N acetyl glucosamine (-)
az_n_acetylglutamic_acid_n,N acetylglutamic acid (-)
az_nicotinamide_adenine_dinucleotide_hydrogen_n,Nicotinamide adenine dinucleotide hydrogen (-)
az_nicotinamide_adenine_dinucleotide_n,Nicotinamide adenine dinucleotide (-)
az_nicotinamide_adenine_dinucleotide_phosphate_hydrogen_n,Nicotinamide adenine dinucleotide phosphate hydrogen (-)
az_nicotinamide_p,Nicotinamide (+)
az_nicotinic_acid_n,nicotinic acid (-)
az_ophthalmic_acid_n,Ophthalmic acid (-)
az_orotic_acid_n,orotic acid (-)
az_oxalic_acid_n,Oxalic acid (-)
az_pantothenic_acid_n,pantothenic acid (-)
az_pcreatine_n,Pcreatine (-)
az_phenyl_pyruvate_n,Phenyl pyruvate (-)
az_phenylalanine_p,Phenylalanine (+)
az_phospho_enol_pyruvic_acid_n,Phospho enol pyruvic acid (-)
az_phospho_serine_n,Phospho serine (-)
az_phosphoethanolamine_n,Phosphoethanolamine (-)
az_pimelic_acid_n,Pimelic Acid (-)
az_proline_n,Proline (-)
az_pyridoxal_5_phosphate_n,Pyridoxal 5 Phosphate (-)
az_pyridoxal_n,Pyridoxal (-)
az_pyroglutamic_acid_n,Pyroglutamic acid (-)
az_pyruvic_acid_n,pyruvic acid (-)
az_quinolinic_acid_n,Quinolinic acid (-)
az_ribose_5_phosphate_n,Ribose 5 Phosphate (-)
az_s_5_adenosyl_l_custeine_n,S 5 Adenosyl L Custeine (-)
az_s_adenosyl_l_homocysteine_p,S Adenosyl L Homocysteine (+)
az_s_adenosyl_l_methionine_p,S Adenosyl L Methionine (+)
az_salicylic_acid_n,salicylic acid (-)
az_sarcosine_p,Sarcosine (+)
az_sdma_p,SDMA (+)
az_serine_p,Serine (+)
az_shikimic_acid_n,shikimic acid (-)
az_sorbitol_mannitol_n,sorbitol mannitol (-)
az_succinic_acid_n,succinic acid (-)
az_taurine_p,Taurine (+)
az_thiamine_n,Thiamine (-)
az_threonine_p,Threonine (+)
az_thymidine_monophosphate_n,Thymidine monophosphate (-)
az_thymidine_n,Thymidine (-)
az_thymine_n,thymine (-)
az_trimethylamine_n_oxide_tmao_p,Trimethylamine N oxide TMAO (+)
az_tryptophan_p,Tryptophan (+)
az_tyrosine_n,tyrosine (-)
az_uracil_n,uracil (-)
az_ureidopropionic_acid_n,Ureidopropionic acid (-)
az_ureidosuccinic_acid_n,Ureidosuccinic acid (-)
az_uridine_diphosphate_galactose_n,Uridine diphosphate galactose (-)
az_uridine_diphosphate_glucose_n,Uridine diphosphate glucose (-)
az_uridine_diphosphate_glucuronic_acid_n,Uridine diphosphate glucuronic acid (-)
az_uridine_diphosphate_n,Uridine diphosphate (-)
az_uridine_n,uridine (-)
az_urocanic_acid_n,Urocanic acid (-)
az_valine_p,Valine (+)
az_xanthine_n,Xanthine (-)
az_xanthurenic_acid_n,Xanthurenic acid (-)
baseline_ffa,Free Fatty Acid (Baseline Avg)
baseline_insulin,Baseline insulin
basophil,Basophil %
bc_tm1,PET Scan Blood Count Time (sample 1)
bc_tm2,PET Scan Blood Count Time (sample 2)
bckgd,PET Scan Background
bd_tm,PET Scan Blood Draw Time
beta_blocker,Beta Blocker
bg,Blood Glucose
bg_30,Blood glucose (30 min)
bg_60,Blood glucose (60 min)
bg_90,Blood glucose (90 min)
bg_120,Blood glucose (120 min)
bg_150,Blood glucose (150 min)
bg_180,Blood glucose (180 min)
bia_body_fat,Body Fat (%)
bia_complete,Handheld BIA Complete
bia_fat_mass_kg,Fat Mass (kg)
bia_lean_mass,Lean Mass (%)
bia_lean_mass_kg,Lean Mass (kg)
bicarb_base,Baseline Bicarbonate/HCO3 (nmol/L)
bili,Bilirubin
bili_base,Baseline Total Bilirubin (mg/dL)
birthweight,Birth weight
bl_androst,Androstenedione (ng/dL)
bl_dheas,DHEA-S (ng/dL)
blac_adp_1_25_10_min,BLAC ADP 1.25 10 min
blac_baseline,BLAC Baseline
blac_conv_50_3_min,BLAC Conv 50 3 min
blac_th_0_075_2_min,BLAC TH 0.075 2 min
blac_th_0_075_5_min,BLAC TH 0.075 5 min
bls_insulin_st,Baseline Insulin (steady state)
bmi,Body Mass Index (kg/m^2)
bod_pod_body_fat,Body fat percentage (BOD POD) (%)
bod_pod_est_rmr,Estimated Resting Metabolic Rate (BOD POD)
bod_pod_fat_kg,Fat mass (BOD POD) (kg)
bod_pod_lean_kg,Lean mass (BOD POD) (kg)
bod_pod_lean_mass,Lean mass percentage (BOD POD) (%)
bold_l_bl_cortex,Left cortex R2*
bold_l_bl_kidney,Left kidney R2*
bold_l_bl_medulla,Left medulla R2*
bold_l_pf_cortex,LEFT: Post-furosemide R2* (cortex)
bold_l_pf_kidney,LEFT: Post-furosemide R2* (kidney)
bold_l_pf_medulla,LEFT: Post-furosemide R2* (medulla)
bold_l_t1_cortex,LEFT: T1 (cortex) (ms)
bold_l_t1_kidney,LEFT: T1 (kidney) (ms)
bold_r_bl_cortex,Right cortex R2*
bold_r_bl_kidney,Right kidney R2*
bold_r_bl_medulla,Right medulla R2*
bold_r_pf_cortex,RIGHT: Post-furosemide R2* (cortex)
bold_r_pf_kidney,RIGHT: Post-furosemide R2* (kidney)
bold_r_pf_medulla,RIGHT: Post-furosemide R2* (medulla)
bold_r_t1_cortex,RIGHT: T1 (cortex) (ms)
bold_r_t1_kidney,RIGHT: T1 (kidney) (ms)
bolus_dex,Dextran bolus volume? (mL)
bolus_ioh,Iohexol bolus volume? (mL)
bolus_pah,PAH bolus volume? (mL)
breast_tanner,Breast - Tanner Stage
brmr_co,Carbohydrate Oxidation
brmr_fo,Fat Oxidation
brmr_ree,Resting Energy Expenditure (REE)
brmr_rq,Respiratory Quotient (RQ)
brmr_vco2,VCO2 - Baseline (L/min)
brmr_vo2_l,VO2 - Baseline (L/min)
brmr_vo2_ml,VO2 - Baseline (mL/kg/min)
bsa,BSA
bsa_dubois,BSA (Dubois)
bun,Blood Urea Nitrogen (mg/dL)
bun_base,Baseline Blood Urea Nitrogen (mg/dL)
bun_s,Serum BUN (mg/dL)
bx_labs_yn,Biopsy Screening Labs complete
c00002,ATP
c00006,NADP+
c00008,ADP
c00009,Phosphate
c00013,Diphosphate
c00015,UDP
c00020,AMP
c00021,S-Adenosyl-L-homocysteine
c00022,Pyruvate
c00025,L-glutamate
c00026,2-Oxoglutarate
c00031,D-Glucose
c00036,Oxaloacetate
c00037,glycine
c00041,L-alanine
c00042,Succinate
c00043,UDP-N-acetyl-D-glucosamine
c00047,L-lysine
c00049,L-aspartate
c00062,L-arginine
c00064,L-glutamine
c00065,L-serine
c00072,Ascorbate
c00073,L-methionine
c00074,Phosphoenolpyruvate
c00078,L-tryptophan
c00079,L-phenylalanine
c00081,ITP
c00082,L-tyrosine
c00097,L-cysteine
c00101,Tetrahydrofolate
c00104,IDP
c00106,Uracil
c00108,Anthranilate
c00114,Choline
c00118,D-Glyceraldehyde 3-phosphate/Glycerone phosphate
c00119,5-Phospho-alpha-D-ribose 1-diphosphate
c00121,D-Ribose
c00122,Fumarate
c00123,L-leucine
c00123_2,L-leucine
c00130,IMP
c00135,L-histidine
c00147,Adenine
c00148,L-proline
c00149,Malate
c00152,L-asparagine
c00153,Nicotinamide
c00155,L-Homocysteine
c00158,Citrate
c00160,Glycolate
c00178,Thymine
c00183,L-valine
c00188,L-threonine
c00208,Maltose
c00214,Thymidine
c00219,Arachidonic acid (Eicosatetraenoic acid)
c00236,1-3-Bisphosphoglycerate
c00239,dCMP
c00242,Guanine
c00245,Taurine
c00246,Butanoic/Butyric acid
c00249,Hexadecanoic acid (palmitic acid)
c00262,Hypoxanthine
c00270,N-Acetylneuraminate
c00279,D-Erythrose 4-phosphate
c00294,Inosine
c00300,Creatine
c00315,Spermidine
c00318,L-Carnitine
c00319,Sphingosine
c00327,L-Citrulline
c00328,kynurenine
c00329,D-Glucosamine
c00331,Indolepyruvate
c00345,6-Phospho-D-gluconate
c00366,Urate
c00385,Xanthine
c00387,Guanosine
c00392,Mannitol
c00429,5-6-Dihydrouracil
c00437,N-Acetylornithine
c00463,Indole
c00475,Cytidine
c00486,Bilirubin
c00491,L-cystine
c00499,Allantoate
c00500,Biliverdin
c00506,L-Cysteate
c00542,Cystathionine
c00581,Guanidinoacetate
c00606,3-Sulfino-L-alanine
c00620,alpha-D-Ribose 1-phosphate
c00631,2/3-Phospho-D-glycerate
c00637,Indole-3-acetaldehyde
c00647,Pyridoxamine 5'-phosphate
c00669,gamma-L-Glutamyl-L-cysteine
c00712,Octadecenoic acid (Oleic acid)
c00750,Spermine
c00780,Serotonin
c00791,Creatinine
c00803,Pentanoate (valerate)
c00831,Pantetheine
c00847,4-Pyridoxate
c00864,Pantothenate
c00906,5-6-Dihydrothymine
c00940,2-Oxoglutaramate
c00943,"3',5'-Cyclic IMP"
c00954,Indole-3-acetate
c00977,L-Tryptophanamide
c01026,Dimethylglycine
c01120,Sphinganine 1-phosphate
c01157,trans-4-Hydroxy-L-proline
c01185,Nicotinate ribonucleotide
c01210,N-Methylethanolamine phosphate
c01236,D-Glucono-1-5-lactone 6-phosphate
c01419,Cys-Gly
c01432,Lactate
c01530,Octadecanoic acid (stearic acid)
c01571,Decanoic acid (capric acid)
c01585,Hexanoic acid (caproate)
c01595,"Linoleic acid ((9Z,12Z)-Octadecadienoic acid)"
c01601,Nonanoic acid (pelargonic acid)
c01602,Ornithine
c01684,D-Rhamnose
c01835,Maltotriose
c01879,5-Oxoproline
c01882,ADP-D-ribose
c01904,D-Arabitol
c01962,Thiocysteine
c01996,Acetylcholine
c02220,2-Aminomuconate
c02305,Phosphocreatine
c02352,1-4-beta-D-Xylan
c02532,Phosphoserine
c02571,acetyl-carnitine (acyl-C2)
c02630,2-Hydroxyglutarate/Citramalate
c02678,Dodecanedioic acid
c02679,Dodecanoic acid (lauric acid)
c02838,L-octanoylcarnitine (acyl-C8)
c02862,butanoyl-l-carnitine (acyl-C4)
c02946,4-Acetamidobutanoate
c02965,D-Glucose 6-phosphate
c02989,L-Methionine S-oxide
c02990,L-Palmitoylcarnitine (acyl-C16)
c03017,propionyl-carnitine (acyl-C3)
c03242,Dihomo-gamma-linolenic acid ((8Z-11Z-14Z)-Icosatrienoic acid)
c03406,Argininosuccinate
c03451,(R)-S-Lactoylglutathione
c03453,g-Oxalo-crotonate
c03722,quinolinic acid
c03738,gamma-L-Glutamyl-D-alanine
c03771,5-Guanidino-2-oxopentanoate
c03794,Adenylosuccinic acid
c03829,2S-5S-Methionine sulfoximine
c04287,3D-(3-5/4)-Trihydroxycyclohexane-1-2-dione
c04376,5'-Phosphoribosyl-N-formylglycinamide
c04579,Inositol 1-2-3-5-6-pentakisphosphate
c05283,(5-L-Glutamyl)-L-glutamine
c05422,Dehydroascorbate
c05526,S-Glutathionyl-L-cysteine
c05635,5-Hydroxyindoleacetate
c05658,Indoxyl
c05695,gamma-Glutamyl-Se-methylselenocysteine
c05830,8-Methoxykynurenate
c05832,Hydroxyindole-acetylglycine
c05834,3-Methyldioxyindole
c05932,N-Succinyl-L-glutamate 5-semialdehyde
c06124,Sphingosine 1-phosphate
c06231,Ectoine
c06336,3-Sulfocatechol
c06423,Octanoic acid (caprylic acid)
c06424,Tetradecanoic acid (myristic acid)
c06427,a-Linolenic acid (Octadecatrienoic acid)
c06428,Eicosapentaenoic acid
c06429,Docosahexaenoic acid
c06767,Hemine
c08322,Tetradecenoic acid (myristoleic acid)
c08362,Hexadecenoic acid (Palmitoleic acid)
c10164,Picolinic acid
c11821,5-Hydroxyisourate
c15767,gamma-Glutamyl-gamma-aminobutyrate
c16513,Docosapentaenoic acid ((7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid)
c17714,Heptanoic acid
ca_base,Baseline Calcium (mg/dL)
ca_channel_blocker,Ca Channel Blocker
calcium_channel_blocker,Ca Channel Blocker
cap_loops_sev,Capillary Loops Severity
car_fem,Carotid to femoral artery
car_stern,Carotid to sternal notch
carb_ox_bw_new,Carbohydrate Oxidation/BW (new)
carb_oxidation_new,Carbohydrate Oxidation (new)
cardiac_output,Cardiac output (L/min)
care_14_1_h,CarE(14:1)+H
care_16_0_h,CarE(16:0)+H
care_18_0_h,CarE(18:0)+H
cer_d17_0_26_1_ch3coo,Cer(d17:0_26:1)+CH3COO
cer_d18_0_22_0_h,Cer(d18:0_22:0)+H
cer_d18_1_16_0,Cer(d18:1_16:0)
cer_d18_1_22_0,Cer(d18:1_22:0)
cer_d18_1_22_0_h,Cer(d18:1_22:0)+H
cer_d18_1_23_0,Cer(d18:1_23:0)
cer_d18_1_23_0_ch3coo,Cer(d18:1_23:0)+CH3COO
cer_d18_1_23_0_h,Cer(d18:1_23:0)+H
cer_d18_1_24_0,Cer(d18:1_24:0)
cer_d18_1_24_0_ch3coo,Cer(d18:1_24:0)+CH3COO
cer_d18_1_24_0_h,Cer(d18:1_24:0)+H
cer_d18_1_24_1,Cer(d18:1_24:1)
cer_d18_1_24_1_ch3coo,Cer(d18:1_24:1)+CH3COO
cer_d18_1_26_0_h,Cer(d18:1_26:0)+H
cer_d18_2_23_0_h,Cer(d18:2_23:0)+H
cer_d18_2_24_0_h,Cer(d18:2_24:0)+H
cer_d18_2_24_0_h_h2o,Cer(d18:2_24:0)+H-H2O
cer_d18_2_24_1,Cer(d18:2_24:1)
cer_d18_2_24_1_h,Cer(d18:2_24:1)+H
cer_d19_1_24_0,Cer(d19:1_24:0)
cer_d19_1_24_0_h,Cer(d19:1_24:0)+H
cer_d19_1_24_0_o_h_h2o,Cer(d19:1_24:0+O)+H-H2O
cer_d19_1_24_1_h,Cer(d19:1_24:1)+H
cer_d41_1_h_h2o,Cer(d41:1)+H-H2O
cer_d42_1_h_h2o,Cer(d42:1)+H-H2O
cer_m18_0_24_0_h,Cer(m18:0_24:0)+H
cer_t16_0_22_0_h_h2o,Cer(t16:0_22:0)+H-H2O
cer_t17_0_22_0_h_h2o,Cer(t17:0_22:0)+H-H2O
cer_t18_0_22_0_h_2h2o,Cer(t18:0_22:0)+H-2H2O
cer_t18_0_22_0_h_h2o,Cer(t18:0_22:0)+H-H2O
cer_t18_0_23_0_h_2h2o,Cer(t18:0_23:0)+H-2H2O
cer_t18_0_23_0_h_h2o,Cer(t18:0_23:0)+H-H2O
cer_t18_0_24_0_h,Cer(t18:0_24:0)+H
cer_t18_0_24_0_h_h2o,Cer(t18:0_24:0)+H-H2O
cer_t18_1_22_0_h_h2o,Cer(t18:1_22:0)+H-H2O
cer_t18_1_23_0_h_h2o,Cer(t18:1_23:0)+H-H2O
cer_t18_1_24_0_h_2h2o,Cer(t18:1_24:0)+H-2H2O
cer_t18_1_24_0_h_h2o,Cer(t18:1_24:0)+H-H2O
cer_t18_1_24_1_h_h2o,Cer(t18:1_24:1)+H-H2O
cer_t20_1_23_0_h_h2o,Cer(t20:1_23:0)+H-H2O
cer_t42_0_h_2h2o,Cer(t42:0)+H-2H2O
cer_t42_1_o_h_2h2o,Cer(t42:1+O)+H-2H2O
cerpe_d14_1_21_0,CerPE(d14:1_21:0)
cerpe_d15_0_21_1,CerPE(d15:0_21:1)
cerpe_d15_0_23_4,CerPE(d15:0_23:4)
cerpe_d20_0_19_1,CerPE(d20:0_19:1)
cerpe_d20_1_21_4,CerPE(d20:1_21:4)
cerpe_d43_1,CerPE(d43:1)
cgm_avg_glucose,Average Glucose (mg/dL)
cgm_bg_std,Standard Deviation (mg/dl)
cgm_bg_variability,Glucose Variability (Coefficient of Variation %)
